phrase,category,Include
", but",modified,N
", where",modified,
additionally,other,
after,subordinator,
after all that,other,
after consideration,other,
afterward,other,
afterwards,other,
all in all,other,
all things considered,other,
although,subordinator,
always assuming that,subordinator,
and,coordinator,N
and don't forget,other,
and let us not forget,other,
and let's not forget,other,
and sure enough,other,
and that is why,other,
and that's how,other,
and that's why,other,
and yet,other,
and/or,coordinator,
apart from that,other,
as,subordinator,N
as a consequence,other,
as a corollary,other,
as a result,other,
as an example,other,
as long as,subordinator,
as soon as,subordinator,
aside from that,other,
assume for a second that,other,
assuming that,subordinator,
at the end of the day,other,
at the moment when,subordinator,
because,subordinator,
before,subordinator,
before […] ever,subordinator,
but,other,N
but then,coordinator,
by analogy,other,
"by comparison,",other,
by the time,subordinator,
consequently,other,
considering that,subordinator,
conversely,other,
despite all of that,other,
despite the fact that,subordinator,
despite this,other,
due to,other,
each time,subordinator,
else,coordinator,
especially because,subordinator,
especially if,subordinator,
even after,subordinator,
even before,subordinator,
even if,subordinator,
even though,subordinator,
even when,subordinator,
every time,subordinator,
everywhere,subordinator,
except after,subordinator,
except before ,subordinator,
except if,subordinator,
except insofar as,subordinator,
except when,subordinator,
failing that,other,
finally,other,
first of all,other,
firstly,other,
following on from that,other,
for,subordinator,N
for a start,other,
for another thing,other,
for fear that,subordinator,
for instance,other,
for that reason,other,
for the simple reason,subordinator,
for this reason,other,
for those reasons,other,
fourthly,other,
furthermore,other,
given that,subordinator,
having said that,other,
hence,other,
however,subordinator,
if,subordinator,N
if ever,subordinator,
if only,subordinator,
in a different vein,other,
in addition,other,
in as much as,subordinator,
in case,subordinator,
in conclusion,other,
in contrast,other,
in other respects,other,
in so far as,subordinator,
in spite of that,other,
in summary,other,
in that,subordinator,
in the first place,other,
in the hope that,subordinator,
in the meantime,other,
in which case,other,
inasmuch as,subordinator,
initially,other,
insofar as,subordinator,
it follows that,other,
it is because,other,
just as,subordinator,
largely because,subordinator,
lest,subordinator,
let's assume,other,
likewise,other,
looking at it another way,other,
mainly because,subordinator,
meanwhile,other,
merely because,subordinator,
more importantly,other,
moreover,other,
mostly because,subordinator,
moving on,other,
moving on from that,other,
much as,subordinator,
namely,other,
neither is it the case,other,
nevertheless,other,
next time,subordinator,
no sooner than,subordinator,
nonetheless,other,
not only,other,
notwithstanding that,subordinator,
now ,subordinator,N
now for something completely different,other,
now that,subordinator,
on another note,other,
on assumption that,subordinator,
on balance,other,
on closer inspection,other,
on condition that,subordinator,
on one hand,other,
on the assumption that,subordinator,
on the condition that,subordinator,
on the contrary,other,
on the grounds that,subordinator,
on the one hand,other,
on the other hand,other,
on the other side of the coin,other,
on top of this,other,
once,subordinator,N
once again,other,
once more,other,
one could conclude,other,
one could say,other,
only after,subordinator,
only because,subordinator,
only before,subordinator,
only if,subordinator,
only when,subordinator,
or,coordinator,N
or again,coordinator,
or else,coordinator,
otherwise,other,
overall,other,
owing to,other,
particularly because,subordinator,
particularly if,subordinator,
particularly when,subordinator,
playing devil's advocate,other,
presently,other,
presumably because,subordinator,
previously,other,
provided that,subordinator,
providing that,subordinator,
purely because,other,
put another way,other,
reciprocally,other,
regardless of that,other,
regardless of whether,subordinator,
secondly,other,
seeing as,subordinator,
simply because,subordinator,
since,subordinator,N
so,subordinator,N
so that,subordinator,
subsequently,other,
such that,subordinator,
summing up,other,
suppose that,other,
supposing that,subordinator,
that being said,other,
that is to say,other,
"that is,",other,
that means that,other,
that reminds me,other,
that's to say,other,
the first time,subordinator,
the more often,subordinator,
the next time,subordinator,
then,coordinator,?
then again,coordinator,
thirdly,other,
this means that,other,
though,subordinator,
thus,other,
to conclude,other,
to illustrate,other,
to make matters worse,other,
to paraphrase,other,
to play devil's advocate,other,
to put it another way,other,
to recap,other,
to summarise,other,
to the degree that,subordinator,
to the extent that,subordinator,
to top it all off,other,
ultimately,other,
unless,subordinator,
until,subordinator,
we could conclude,other,
we might say,other,
what's more,other,
when,subordinator,N
whenever,subordinator,
where,subordinator,N
wherein,subordinator,
wherever,subordinator,
whether or not,subordinator,
which reminds me,other,
while,subordinator,
whilst,subordinator,
with all that in mind,other ,
with that in mind,other,
yet,coordinator,
